credito;codigo_ciudad;cliente_tipo_identificacion;codigo_ocupacion;descripcion_ocu
39982;25754;1;E;Empleado
162764;11001;1;E;Empleado
45849;25269;1;;
208506;11001;1;T;Transportador
183224;11001;1;E;Empleado
197101;11001;1;O;Contratista
217345;11001;1;T;Transportador
203603;25269;1;T;Transportador
166553;25035;1;I;Independiente
202888;25175;1;T;Transportador
216793;25386;1;J;Independiente Formal
85232;25245;1;P;Pensionado
193421;11001;1;T;Transportador
223248;50001;1;F;Empleado ER
210370;25269;1;F;Empleado ER
162837;11001;1;I;Independiente
90010;25099;1;I;Independiente
213250;25099;1;J;Independiente Formal
173617;25754;1;;
102109;11001;1;I;Independiente
228225;11001;1;J;Independiente Formal
152536;11001;1;I;Independiente
158949;11001;1;;
165401;11001;1;;
141783;11001;1;I;Independiente
220417;25126;1;K;Independiente Informal
164273;25126;1;I;Independiente
205718;25126;1;H;Empleado ENR
213176;11001;1;H;Empleado ENR
184922;25126;1;T;Transportador
180818;50689;1;T;Transportador
197554;25899;1;H;Empleado ENR
233419;25200;1;K;Independiente Informal
139998;25200;1;I;Independiente
167851;25214;1;I;Independiente
151226;11001;1;E;Empleado
235034;25214;1;P;Pensionado
202917;25214;1;J;Independiente Formal
203328;11001;1;J;Independiente Formal
168800;11001;1;P;Pensionado
142301;25175;1;E;Empleado
214148;25178;1;P;Pensionado
198946;50001;1;J;Independiente Formal
197341;25754;1;F;Empleado ER
181858;11001;1;R;Rentista de Capital
217333;11001;1;T;Transportador
147535;11001;1;I;Independiente
212155;11001;1;T;Transportador
126766;25200;1;E;Empleado
178219;25322;1;I;Independiente
193614;11001;1;N;Comerciante
68023;11001;1;E;Empleado
151419;11001;1;I;Independiente
215503;11001;1;J;Independiente Formal
200001;11001;1;T;Transportador
198869;25175;1;J;Independiente Formal
170876;25377;1;;
202994;25322;1;T;Transportador
98995;25513;1;I;Independiente
205743;25123;1;P;Pensionado
234484;11001;1;T;Transportador
130177;25486;1;I;Independiente
203754;73001;1;T;Transportador
152413;11001;1;;
178866;25718;1;H;Empleado ENR
