"credito";"codigo_ciudad";"cliente_tipo_identificacion";"codigo_ocupacion"
39982;25754;1;E
162764;11001;1;E
45849;25269;1;""
208506;11001;1;T
183224;11001;1;E
197101;11001;1;O
217345;11001;1;T
203603;25269;1;T
166553;25035;1;I
205696;25175;1;T
216793;25386;1;J
85232;25245;1;P
193421;11001;1;T
223248;50001;1;F
210370;25269;1;F
162837;11001;1;I
90010;25099;1;I
213250;25099;1;J
173617;25754;1;""
102109;11001;1;I
228225;11001;1;J
152536;11001;1;I
158949;11001;1;""
165401;11001;1;""
141783;11001;1;I
220417;25126;1;K
164273;25126;1;I
205718;25126;1;H
213176;11001;1;H
184922;25126;1;T
180818;50689;1;T
197554;25899;1;H
233419;25200;1;K
139998;25200;1;I
167851;25214;1;I
151226;11001;1;E
235034;25214;1;P
202917;25214;1;J
203328;11001;1;J
168800;11001;1;P
142301;25175;1;E
214148;25178;1;P
198946;50001;1;J
197341;25754;1;F
181858;11001;1;R
217333;11001;1;T
147535;11001;1;I
212155;11001;1;T
126766;25200;1;E
178219;25322;1;I
193614;11001;1;N
68023;11001;1;E
151419;11001;1;I
215503;11001;1;J
200001;11001;1;T
198869;25175;1;J
170876;25377;1;""
202994;25322;1;T
98995;25513;1;I
205743;25123;1;P
234484;11001;1;T
130177;25486;1;I
203754;73001;1;T
152413;11001;1;""
178866;25718;1;H
184493;11001;1;J
122212;76001;1;I
212188;25290;1;P
193047;63001;1;J
122209;11001;1;""
226209;25754;1;J
214315;11001;1;J
177188;25175;1;T
146437;11001;1;I
160289;11001;1;P
207771;50001;1;K
40245;11001;1;""
202958;11001;1;N
199121;11001;1;K
223928;25817;1;K
64743;11001;1;E
230830;11001;1;P
190939;11001;1;E
213204;11001;1;J
230267;11001;1;R
157087;73408;1;I
191892;11001;1;F
139643;25718;1;""
163692;25175;1;I
203739;11001;1;H
184466;11001;1;R
228388;25743;1;J
185588;11001;1;T
149963;25286;1;I
232751;11001;1;F
188824;11001;1;I
193742;25320;1;""
129694;11001;1;""
179270;50001;1;T
197165;25269;1;I
217964;11001;1;K
146714;11001;1;I
196755;15176;1;J
216531;25899;1;J
129883;25799;1;P
188565;25799;1;T
172448;25740;1;""
203192;25817;1;T
163950;25769;1;E
175588;11001;1;""
212387;11001;1;J
193154;11001;1;F
157269;25878;1;I
226789;11001;1;T
178051;25386;1;""
165999;11001;1;K
178233;11001;1;""
86420;68001;1;I
177917;25754;1;J
218367;95001;1;N
192915;25754;1;F
175923;11001;1;H
218056;25754;1;J
218180;25898;1;K
124938;50001;1;""
189172;50226;1;""
